Code,Town.distance.km,Town.name,Town.size,House.distance,House.size,Cattle.distance,Cattle.intensity.indiv,Ag.field.distance,Ag.field.area.ha,Road.distance,Rode.type,Ag.runoff.ha
BE1,3.33,,6188,0.52,4,0.04,1,0.45,2,3.2,1,0.5
BE11,10.27,Belmira,6188,2.17,50,1.61,50,1.71,100,3.48,3,2
BE12,10.47,Belmira,6188,2.37,50,1.81,50,1.91,100,3.68,3,2
BE13,10.57,Belmira,6188,2.47,50,1.91,50,2.01,100,3.78,3,2
BE2,4.02,,6188,0.33,4,0,30,0.32,2,3.92,1,1
BE3,4,,6188,0.29,4,0,20,0.15,2,3.9,1,5
BE4,3.63,,12150,0.24,4,0,20,0.2,2,3.53,3,1
BE5,19.13,,12150,19.13,8,1.8,10,1.5,10,2.1,3,0
BE6,20.13,,12150,20.13,8,1.65,10,1.35,10,1.95,3,0
BE7,5.04,,6188,1.3,8,1.1,10,1.2,10,1.25,3,1
BE8,12,,6188,1.5,8,0.9,50,1.3,20,1.6,3,0
BE9,12.5,,6188,1.15,8,0.55,50,0.95,20,1.25,2,1
CHI1,29.98,Fomeque,12150,4.44,5,1.85,20,9.01,50,2.84,2,0
CHI10,26.31,Fomeque,12150,0.77,5,1.3,20,5.34,50,0.5,2,5
CHI11,26.21,Fomeque,12150,0.67,5,1.2,20,5.24,50,0.4,2,5
CHI2,1.57,Fomeque,12150,1.65,5,1.65,20,8.81,50,2.64,2,0
CHI3,1.57,Fomeque,12150,1.57,5,0.95,20,8.11,50,1.94,2,0
CHI4,1.37,Fomeque,12150,1.37,5,0.75,20,7.91,50,1.74,2,0
CHI5,27.11,Fomeque,12150,0.97,5,1.57,20,6.14,50,0.25,2,5
CHI6,26.91,Fomeque,12150,0.87,5,1.37,20,5.94,50,0.3,2,5
CHI7,26.71,Fomeque,12150,1.17,5,1.45,20,5.74,50,0.5,2,5
CHI8,26.51,Fomeque,12150,0.97,5,1.5,20,5.54,50,0.7,2,5
CHI9,26.41,Fomeque,12150,0.87,5,1.4,20,5.44,50,0.6,2,5
COC1,30.5,,7311,19.13,6,11.73,25,19.2,5,19.13,3,0
COC10,31.5,,7311,20.13,6,12.73,25,20.2,5,20.13,3,0
COC11,31.2,,7311,19.83,6,12.43,25,19.9,5,19.83,3,0
COC12,30.82,,7311,19.45,6,12.05,25,19.52,5,19.45,3,0
COC13,30.77,,7311,19.4,6,12,25,19.47,5,19.4,3,0
COC14,30.37,,7311,19,6,11.6,25,19.07,5,19,3,0
COC2,30.6,,7311,19.13,6,11.93,25,19.4,5,19.33,3,0
COC3,25,,7311,13.53,6,6.33,25,13.8,5,13.73,3,0
COC4,24.7,,7311,13.23,6,6.03,25,13.5,5,13.43,3,0
COC5,26.92,,7311,15.45,6,8.25,25,15.72,5,15.65,3,0
COC6,26.8,,7311,15.55,6,8.55,25,15.97,5,15.9,3,0
COC7,26.6,,7311,15.35,6,8.35,25,15.77,5,15.7,3,0
COC8,27.85,,7311,16.6,6,9.6,25,17.02,5,16.95,3,0
COC9,32,,7311,20.63,6,13.23,25,20.7,5,20.63,3,0
DUE1,18.47,Fenicia (Riofrio),1500,6.22,5,5.9,10,6.35,10,9.65,3,0
DUE2,18.32,Fenicia (Riofrio),1500,6.07,5,5.75,10,6.2,10,9.5,3,0
DUE3,18.17,Fenicia (Riofrio),1500,5.92,5,5.6,10,6.05,10,9.35,3,0
DUE4,18.16,Fenicia (Riofrio),1500,5.91,5,5.59,10,6.04,10,9.34,3,0
DUE5,18.31,Fenicia (Riofrio),1500,6.06,5,5.74,10,6.19,10,9.49,3,0
DUE6,18.325,Fenicia (Riofrio),1500,6.075,5,5.755,10,6.205,10,9.505,3,0
DUE7,18.775,Fenicia (Riofrio),1500,6.525,5,6.205,10,6.655,10,9.955,3,0
DUE8,18.575,Fenicia (Riofrio),1500,6.325,5,6.005,10,6.455,10,9.755,3,0
DUE9,18.585,Fenicia (Riofrio),1500,6.335,5,6.015,10,6.465,10,9.765,3,0
IGU1,4.2,,5781,3,10,2.9,45,2.6,45,2.8,2,0
IGU10,3.8,,5781,2.5,10,2.3,45,2.4,20,2.4,2,0
IGU11,3.9,,5781,2.6,10,2.4,45,2.5,20,2.5,2,0
IGU12,4.4,,5781,3.1,10,2.9,45,3,20,3,2,0
IGU2,4.3,,5781,3.01,10,2.8,45,2.8,20,1.9,2,0
IGU3,4.5,,5781,3.2,10,3,45,3.1,20,3.1,2,0
IGU4,5,,5781,3.7,10,3.5,45,3.6,20,3.6,2,0
IGU5,5.1,,5781,3.8,10,3.6,45,3.7,20,3.7,2,0
IGU6,5.2,,5781,3.9,10,3.7,45,3.8,20,3.8,2,0
IGU7,5.4,,5781,4.1,10,3.9,45,4,20,4,2,0
IGU8,5.8,,5781,4.5,10,4.3,45,4.4,20,4.4,2,0
IGU9,5.3,,5781,4,10,3.8,45,3.9,20,3.9,2,0
LAVE1,13.59,Tausa,7263,1.3,25,0.83,20,1.27,50,0.28,2,25
LAVE2,13.49,Tausa,7263,1.2,25,0.73,20,1.17,50,0.18,2,25
LAVE3,13.79,Tausa,7263,1.88,25,1.38,20,0.99,50,0.8,2,25
LAVE4,13.69,Tausa,7263,1.98,25,1.48,20,1.09,50,0.9,2,25
LAVE5,13.99,Tausa,7263,1.83,25,1.33,20,0.94,50,0.75,2,25
LAVE6,13.89,Tausa,7263,1.68,25,1.18,20,0.79,50,0.6,2,25
LAVE7,14.19,Tausa,7263,1.53,25,1.03,20,0.64,50,0.45,2,25
MA1,14.1,,3600,7.47,8,6.5,20,6.5,25,6.75,3,0
MA10,13.8,,3600,6.55,8,6.25,20,5.85,25,6.05,3,0
MA11,13.93,,3600,6.68,8,6.38,20,5.98,25,6.18,3,0
MA2,14,,3600,7.4,8,6.45,20,6.45,25,6.5,3,0
MA3,14.2,,3600,7.65,8,6.7,20,6.7,25,7.1,3,0
MA4,14.3,,3600,7.7,8,6.72,20,6.75,25,7.2,3,0
MA5,13.8,,3600,6.51,8,6.2,20,5.8,25,6,3,0
MA6,13.7,,3600,6.45,8,6.15,20,5.75,25,5.95,3,0
MA7,14.1,,3600,6.85,8,6.55,20,6.15,25,6.35,3,0
MA8,13.35,,3600,6.1,8,5.8,20,5.4,25,5.6,3,0
MA9,13.45,,3600,6.2,8,5.9,20,5.5,25,5.7,3,0
NEG1,13.11,Manizales,800000,0.15,20,0.1,50,0.1,50,0.15,2,50
NEG2,13.1,Manizales,800000,0.14,20,0.09,50,0.09,50,0.14,2,50
NEG3,13.09,Manizales,800000,0.13,20,0.08,50,0.08,50,0.13,2,50
NEV1,17.26,Murillo,8500,5.52,5,0.5,20,4.35,25,5.79,2,0
NEV2,17.11,Murillo,8500,5.34,5,0.35,20,4.2,25,5.64,2,0
NEV3,16.96,Murillo,8500,5.21,5,0.2,20,4.05,25,5.49,2,0
NEV4,16.81,Murillo,8500,5.2,5,0.15,20,3.9,25,5.34,2,0
NEV5,16.66,Murillo,8500,3.6,5,0.15,20,3.75,25,5.19,2,0
NEV6,18.25,Murillo,8500,3.39,5,0.15,20,8.65,25,5.9,2,0
NEV7,18.4,Murillo,8500,2.97,5,0.25,20,8.75,25,5.75,2,0
NEV8,18.55,Murillo,8500,2.77,5,0.25,20,8.55,25,5.55,2,0
NEV9,18.7,Murillo,8500,2.57,5,0.25,20,8.35,25,5.35,2,0
PAM1,4,Pamplona,40000,0.8,20,0.15,25,0.4,50,0.4,1,4
PAM2,9.1,Pamplona,800,3.1,20,0.2,25,0.7,50,0.6,1,5
RAB1,9.2,Ventaquemada,1500,1.54,100,1.45,100,1.36,100,1.45,2,0
RAB2,10.25,Ventaquemada,1500,2.71,100,2.6,100,2.5,100,2.61,2,0
RAB3,10.35,Ventaquemada,1500,2.81,100,2.7,100,2.6,100,2.71,2,0
RAB4,10.15,Ventaquemada,1500,2.41,100,2.35,100,2.25,100,2.41,2,0
RAB5,10,Ventaquemada,1500,2.26,100,2.2,100,2.1,100,2.26,2,0
RAB6,9.85,Ventaquemada,1500,2.11,100,2.05,100,1.95,100,2.11,2,0
RAB7,9.7,Ventaquemada,1500,1.96,100,1.9,100,1.8,100,1.96,2,0
RAB8,9.7,Ventaquemada,1500,1.96,100,1.9,100,1.8,100,1.96,2,0
RAB9,8.54,Guacheta,1500,1.38,50,0.45,50,0.39,100,1.04,2,20
SUM1,24.05,,150000,0.28,5,0,5,0.5,10,0.2,2,1.5
SUM10,6,,200,1.5,4,0.1,8,2,4,0.2,2,0
SUM11,4.5,,15000,3,10,2.5,10,2.5,2,0.1,2,0
SUM12,5.5,,15000,0.16,10,0,15,0.2,20,0.1,2,3
SUM13,3.5,,15000,0.1,10,0.1,10,0.1,2,0.05,2,4
SUM14,3,,15000,0.1,10,0,12,0.2,1,0.01,2,10
SUM2,23.98,,150000,0.35,5,0,5,0,5,0.2,2,1.5
SUM3,23.5,,150000,0.79,5,0,5,0.5,5,0.3,2,1.5
SUM4,21.3,,150000,2,5,1,5,1,5,0.5,2,0
SUM5,1.5,,200,0.2,5,0.2,15,0.2,1,0.5,2,1
SUM6,8.2,,200,2,5,1,4,4,5,2,2,0
SUM7,7.8,,200,2.17,5,1,4,4,4,1,2,0
SUM8,6.5,,200,1.7,4,1,8,4,4,0.5,2,0
SUM9,6.2,,200,1.6,4,0.75,8,3.5,4,0.5,2,0
TOL1,25,,17300,1.1,2,0.1,35,1.2,0.5,20,2,0
TOL2,24.9,,17300,1.15,2,0.15,35,1.25,0.5,20,2,0
TOL3,25.05,,17300,1.3,2,0.3,35,1.4,0.5,20.15,2,0
TOL4,25.5,,17300,1.75,2,0.75,35,1.85,0.5,20.6,2,0
TOL5,25.2,,17300,0.7,2,0.2,35,0.8,0.5,21,2,0
YAR1,2.08,Llanos de Cuiva,1200,0.25,10,0.05,50,0.05,20,0.18,1,25
YAR2,14.2,Llanos de Cuiva,900,11.1,10,0.05,50,0.05,20,0.33,1,25
YAR3,2.13,Llanos de Cuiva,1200,0.3,10,0.05,50,0.05,20,0.23,1,25